indicator,year,value,iso_code,units,name
Education,2009,4.498479843,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2010,3.674759984,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2011,4.17305994,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2012,4.077429771,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2013,3.867699981,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2014,4.093698733,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2015,4.454237938,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2016,4.333099842,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2017,4.134349823,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2018,4.312764883,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2019,3.936285138,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2020,4.111616688,East Asia & Pacific,% of GDP,East Asia & Pacific
Education,2001,4.587885141,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2002,4.536999941,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2003,4.923079967,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2004,4.781730175,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2005,4.903789997,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2006,4.821650028,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2007,4.633289814,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2008,4.884970188,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2009,5.046319962,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2010,5.05092001,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2011,4.896920204,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2012,4.843949795,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2013,4.953005075,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2014,4.878499985,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2015,4.885540009,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2016,4.770905969,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2017,4.689909935,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2018,4.675159931,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2019,4.630020142,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2020,5.07,Europe & Central Asia,% of GDP,Europe & Central Asia
Education,2014,4.680204868,Latin America & Caribbean,% of GDP,Latin America & Caribbean
