year,country,group_name,counterpart_area,value_commitments,value_rate,value_grace,value_maturities,expected_payments,avg_rate,avg_maturities,avg_grace,weight
2017,Burkina Faso,Africa,African Dev. Bank,70177286.4,0.3055,6.5343,27.3576,3412073.1588859847,0.004094440661882972,0.36665816645345206,0.0875754619212501,0.013402424425148845
2017,Burkina Faso,Africa,World Bank-IDA,235184985.7,0.7499,6.2617,37.7617,37484608.03486345,0.015435235260421294,0.777251264613216,0.1288849348315509,0.020583058088306832
2017,Central African Republic,Africa,African Dev. Bank,3744193.8,0.75,9.5,39.5,659914.15725,0.0005362982491755073,0.028245041123243386,0.006793111156223093,0.0007150643322340098
2017,"Congo, Dem. Rep.",Africa,African Dev. Bank,151829833.7,0.75,9.515,39.3039,26642998.95225873,0.021747291495947257,1.139671160303415,0.2759006381119175,0.028996388661263008
2017,"Congo, Dem. Rep.",Africa,World Bank-IDA,319781888.6,0.75,6.2257,37.7257,50974755.81373811,0.02099014474409834,1.055823871429908,0.1742377921777774,0.02798685965879779
2017,Ethiopia,Africa,African Dev. Bank,344056745.5,0.9716,3.8265,21.8599,38501654.37274811,0.06384169059132883,1.4363657597338297,0.25143086563165884,0.0657077918807419
2017,Ethiopia,Africa,World Bank-IDA,1679916245.4,1.0104,6.3902,37.0717,353808300.4641019,0.14855294788764709,5.450425888961289,0.9395121215277538,0.14702389933456758
2017,"Gambia, The",Africa,African Dev. Bank,2191046.8,0.75,9.4999,39.9999,390347.55899999995,0.00031383379853403904,0.01673776074397561,0.003975186270258024,0.00041844506471205205
2017,"Gambia, The",Africa,World Bank-IDA,34128172.3,0.7499,6.1504,37.6504,5439467.820635561,0.002239838427146216,0.11245607776693677,0.01837031905896798,0.00298684948279266
2017,Guinea,Africa,African Dev. Bank,29426590.1,0.75,9.5833,39.5833,5186436.505125,0.004214907024800724,0.22245323897972605,0.053856957987697046,0.005619876033067633
2017,Guinea,Africa,World Bank-IDA,23000000.0,0.75,6.0,37.5,3666309.523809524,0.0015096956592127082,0.0754847829606354,0.012077565273701666,0.0020129275456169443
2017,Guinea-Bissau,Africa,African Dev. Bank,5711975.7,0.75,7.004,39.6666,978235.3409221818,0.0008181527802441858,0.0432711187637787,0.007640456097107036,0.0010908703736589144
2017,Guinea-Bissau,Africa,Bondholders,40638000.0,3.0,17.0,22.0,23163660.0,0.004270469971046962,0.03131677978767772,0.024199329835932783,0.0014234899903489873
2017,Guinea-Bissau,Africa,World Bank-IDA,76687473.7,0.75,6.099,37.599,12224348.48622619,0.005033684615690379,0.25234867715379006,0.040933923294794165,0.0067115794875871725
2017,Liberia,Africa,African Dev. Bank,22853449.8,0.7499,8.4648,34.1808,3489591.300468429,0.003272969189436269,0.1491834981601323,0.03694496545504751,0.004364540858029429
